S.N.,Company Name,Founded in,Founded by
1,The Coca-Cola Company,1900-01-01,John Stith Pemberton
2,Sony Corporation,1946-05-07,"Masaru Ibuka, Akio Morita"
3,McDonald's Corporation,1955-04-15,Ray Kroc
4,Intel Corporation,1968-07-18,"Robert Noyce, Gordon Moore"
5,"Samsung Electronics Co., Ltd.",1969-01-13,Lee Byung-chul
6,Microsoft Corporation,1975-04-04,"Bill Gates, Paul Allen"
7,Apple Inc.,1976-04-01,"Steve Jobs, Steve Wozniak, Ronald Wayne"
8,Oracle Corporation,1977-06-16,"Larry Ellison, Bob Miner, Ed Oates"
9,NVIDIA Corporation,1993-04-05,"Jensen Huang, Chris Malachowsky, Curtis Priem"
10,Amazon.com Inc.,1994-07-05,Jeff Bezos
11,Google LLC,1998-09-04,"Larry Page, Sergey Brin"
12,Alibaba Group Holding Limited,1999-06-28,Jack Ma
13,SAP SE,1972-04-01,"Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Klaus Tschira, Claus Wellenreuther"
14,LinkedIn Corporation,2002-12-28,Reid Hoffman
15,"Facebook, Inc.",2004-02-04,Mark Zuckerberg
16,"Twitter, Inc.",2006-03-21,"Jack Dorsey, Biz Stone, Evan Williams"
17,Spotify AB,2006-04-23,"Daniel Ek, Martin Lorentzon"
18,YouTube LLC,2005-02-14,"Steve Chen, Chad Hurley, Jawed Karim"
19,"Tesla, Inc.",2003-07-01,"Elon Musk, Martin Eberhard, Marc Tarpenning, JB Straubel, Ian Wright"
20,"Airbnb, Inc.",2008-08-01,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk"
21,"PayPal Holdings, Inc.",1998-12-01,"Peter Thiel, Max Levchin, Luke Nosek, Ken Howery"
22,PayPal,1900-01-01,
23,"Stripe, Inc.",2010-01-01,"Patrick Collison, John Collison"
24,"Square, Inc.",2009-02-20,"Jack Dorsey, Jim McKelvey"
25,"Block, Inc.",2009-02-20,"Jack Dorsey, Jim McKelvey"
26,"Zoom Video Communications, Inc.",2011-04-21,Eric Yuan
27,"Slack Technologies, LLC",2009-01-01,"Stewart Butterfield, Eric Costello, Cal Henderson, Serguei Mourachov"
28,"Rivian Automotive, Inc.",2009-06-23,RJ Scaringe
29,SpaceX,2002-03-14,Elon Musk
30,TikTok,2016-09-01,Zhang Yiming
